trna_isotype	query	trna_isotype_start	trna_isotype_end	query_start	query_end	evalue	count	sample_id
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt43__count14__14481879033221599950	43	72	1	30	4.5e-9	14	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt43__count49__2036024270426851856	43	72	1	30	4.8e-9	49	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-1-1__strt43__count27__3874516052045277514	43	72	1	30	8.9e-9	27	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt43__count11__17298214025089297036	43	72	1	30	1.2e-8	11	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt44__count369__871551099548954608	44	72	1	29	7.6e-8	369	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt44__count16__3353055982727150381	44	72	1	29	1.7e-6	16	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt44__count139__7236994763872553743	44	72	1	29	1.4e-8	139	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt44__count21__13281760839539803353	44	72	1	29	1.6e-7	21	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt44__count229__14304077054843092928	44	72	1	29	1.5e-8	229	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-4-1__strt44__count12__13959494743234647973	44	72	1	29	2.7e-6	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-1-1__strt44__count96__794748426867798257	44	72	1	29	2.8e-8	96	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt44__count38__7030408820517189422	44	72	1	29	3.8e-8	38	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt44__count16__5616250214927663805	44	72	1	29	4.4e-7	16	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt45__count13__5257524785581429299	45	72	1	28	2.1e-7	13	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt45__count12__13800907794704480022	45	72	1	28	2.2e-7	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt45__count914__17028343872309656367	45	72	1	28	2.2e-7	914	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt45__count11__13418386515439572491	45	72	1	28	2.7e-6	11	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt45__count109__771536243450006548	45	72	1	28	4.2e-7	109	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt45__count164__9172220494140678194	45	72	1	28	4.9e-6	164	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt45__count450__6861930834054167841	45	72	1	28	4.1e-8	450	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt45__count42__18329986593037038503	45	72	1	28	4.8e-7	42	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt45__count13__795895446695094865	45	72	1	28	4.3e-8	13	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt45__count928__8173632610066992884	45	72	1	28	4.4e-8	928	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt45__count29__18038821020683503648	45	72	1	28	5.3e-7	29	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-3-1__strt45__count12__12425995095029666794	45	72	1	28	1.2e-6	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-4-1__strt45__count10__1914776152702785778	45	72	1	28	3.7e-7	10	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-4-1__strt45__count13__7123560422097497938	45	72	1	28	4.8e-6	13	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-1-1__strt45__count265__3644542251503467163	45	72	1	28	8.2e-8	265	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt45__count140__5089400822577499444	45	72	1	28	1.1e-7	140	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt45__count12__15869678355120665861	45	72	1	28	1.3e-6	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt46__count34__10799736295481214317	46	71	1	26	3.0e-7	34	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt46__count58__1525965891385973168	46	72	1	27	5.2e-7	58	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt46__count116__12365669208358483291	46	72	1	27	5.4e-7	116	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt46__count64__3786655765032011255	46	72	1	27	5.6e-7	64	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt46__count4571__5894326420997681023	46	72	1	27	5.7e-7	4571	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-3-1__strt46__count18__285964669479448876	46	72	1	27	5.3e-7	18	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt46__count348__11154477668764910266	46	72	1	27	1.1e-6	348	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt46__count12__9931243438123086687	46	72	1	27	9.5e-8	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt46__count84__8466738513436370300	46	72	1	27	9.9e-8	84	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt46__count71__8293932479970762341	46	72	1	27	1.0e-7	71	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt46__count3354__3948269103839284537	46	72	1	27	1.1e-7	3354	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt46__count35__12761725852813616113	46	72	1	27	1.0e-7	35	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt46__count180__10222444356229513641	46	72	1	27	1.1e-7	180	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt46__count140__14800940430386379438	46	72	1	27	1.1e-7	140	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt46__count9245__10196866058328351215	46	72	1	27	1.1e-7	9245	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt46__count14__4578024071938767526	46	72	1	27	1.4e-6	14	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-4-1__strt46__count35__6466299756270005258	46	72	1	27	9.4e-7	35	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt46__count31__10769451651807267592	46	72	1	27	2.6e-7	31	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt46__count14__17665363429841058555	46	72	1	27	2.6e-7	14	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt46__count635__7309632757478464043	46	72	1	27	2.8e-7	635	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-4-1__strt46__count12__9737370067947410860	46	72	1	27	3.3e-6	12	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt47__count30__4445148887278457198	47	72	1	26	1.0e-6	30	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt47__count39__13905995838426771491	47	72	1	26	2.1e-6	39	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt47__count29__15833950421219235219	47	72	1	26	2.1e-7	29	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt48__count18__11774670821603269366	48	72	1	25	2.9e-6	18	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt48__count23__10798833856551045590	48	72	1	25	5.8e-7	23	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt49__count20__12453669675641272491	49	72	1	24	1.7e-6	20	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-4-1__strt1__count13__9338409715470587327	1	44	1	44	7.9e-16	13	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt42__count14__10953564859925843411	42	72	1	31	5.4e-7	14	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt42__count90__11273908009365231753	42	72	1	31	5.5e-7	90	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt42__count31__6432250358382429359	42	72	1	31	2.1e-7	31	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-6-1__strt42__count14__11833906643227368661	42	72	1	31	0.000054	14	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt42__count39__15210062980874034887	42	72	1	31	1.5e-8	39	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-6-1__strt42__count16__10000683030075308320	42	72	1	31	2.8e-8	16	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt43__count19__4085816181415842471	43	72	1	30	1.7e-6	19	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt43__count14__3356710891229237111	43	72	1	30	4.5e-8	14	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt44__count68__17312772129338664171	44	72	1	29	5.0e-6	68	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt44__count36__8700722089517796379	44	72	1	29	2.0e-6	36	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt44__count68__3576901322523130836	44	72	1	29	1.4e-7	68	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt44__count10__6475274853591429243	44	72	1	29	1.6e-6	10	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-6-1__strt44__count10__2580401101520870700	44	72	1	29	2.9e-7	10	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt45__count165__9665905356716163647	45	72	1	28	0.000013	165	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt45__count66__11466463645173974661	45	72	1	28	5.7e-6	66	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-6-1__strt45__count10__13252145429199191387	45	72	1	28	0.0013	10	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt45__count303__4563611650373096407	45	72	1	28	3.8e-7	303	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt45__count32__3926042195077619555	45	72	1	28	4.5e-6	32	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-6-1__strt45__count35__11045804704744515456	45	72	1	28	8.3e-7	35	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-6-1__strt46__count28__2961872368694697200	46	72	1	27	1.8e-7	28	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt46__count48__16912237300997511825	47	72	2	27	0.000025	48	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt46__count17__7504298604226938668	47	72	2	27	0.000026	17	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-1-1__strt46__count755__9257895998558918491	47	72	2	27	0.000027	755	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt46__count16__3104908637588055050	47	72	2	27	0.000013	16	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt46__count13__4796592475875252690	47	72	2	27	0.000013	13	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-AGC-5-1__strt46__count451__13504571090030792431	47	72	2	27	0.000014	451	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-1-1__strt46__count14__13679220945765124670	47	72	2	27	1.8e-7	14	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-1-1__strt46__count45__16276191860966906091	47	72	2	27	1.8e-7	45	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-1-1__strt46__count42__6606373119627376152	47	72	2	27	1.9e-7	42	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-1-1__strt46__count1797__15509847768374157568	47	72	2	27	2.0e-7	1797	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt46__count28__2044893229207133572	47	72	2	27	8.0e-7	28	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt46__count39__11402049152027112372	47	72	2	27	8.3e-7	39	NoD1_BH4
tRNA-Ala-TGC	tRNA-Ala-TGC-5-1__strt46__count1915__16339741885531612454	47	72	2	27	8.5e-7	1915	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-2-1__strt38__count25__9068281970196413387	38	73	1	36	9.4e-9	25	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-2-1__strt39__count12__8149700965709482100	40	73	2	35	2.0e-8	12	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-2-1__strt41__count11__644906753411570904	42	73	2	33	6.5e-8	11	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-2-1__strt46__count22__10841367153377470466	46	73	1	28	1.8e-6	22	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-1-1__strt47__count19__15134014252993351753	47	73	1	27	7.1e-7	19	NoD1_BH4
tRNA-Arg-CCG	tRNA-Arg-CCG-2-1__strt47__count16__7993224874009815301	47	73	1	27	5.9e-6	16	NoD1_BH4
tRNA-Arg-CCT	tRNA-Arg-CCT-4-1__strt32__count10__4934193471544830755	32	72	1	41	1.2e-13	10	NoD1_BH4
tRNA-Arg-CCT	tRNA-Arg-CCT-4-1__strt33__count14__15569632839906443128	33	72	1	40	3.4e-13	14	NoD1_BH4
tRNA-Arg-CCT	tRNA-Arg-CCT-4-1__strt46__count24__16210284548583037839	46	72	1	27	5.1e-7	24	NoD1_BH4
tRNA-Arg-CCT	tRNA-Arg-CCT-4-1__strt47__count12__10531755162924481226	47	72	1	26	1.6e-6	12	NoD1_BH4
tRNA-Arg-TCG	tRNA-Arg-TCG-1-1__strt48__count11__3201510960040486350	48	72	1	25	0.000067	11	NoD1_BH4
tRNA-Arg-TCG	tRNA-Arg-TCG-5-1__strt48__count10__1197753237246931901	48	72	1	25	4.8e-6	10	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt63__count10__4690318378558907030	45	73	1	29	5.9e-7	10	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-1-1.intron__strt58__count24__3679748330747782000	46	73	1	28	7.4e-7	24	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-1-1.intron__strt58__count10__2240684656133302945	46	73	1	28	9.4e-6	10	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-1-1.intron__strt58__count26__11889125676073604689	46	73	1	28	9.3e-6	26	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-2-1.intron__strt61__count17__4574129945815707900	46	73	1	28	5.4e-7	17	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-2-1.intron__strt61__count45__9130373093610273903	46	73	1	28	6.6e-6	45	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt64__count19__16115415589319972233	46	73	1	28	1.5e-7	19	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt64__count19__4597076134919353862	46	73	1	28	1.8e-6	19	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt64__count45__6696588518940491908	46	73	1	28	1.8e-6	45	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-1-1.intron__strt59__count130__12422926317467453518	47	73	1	27	2.1e-6	130	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-1-1.intron__strt59__count59__627679430480516222	47	73	1	27	0.000026	59	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-2-1.intron__strt62__count38__2161196154931977467	47	73	1	27	1.5e-6	38	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-2-1.intron__strt62__count65__11019003190542939374	47	73	1	27	1.6e-6	65	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-2-1.intron__strt62__count11__6028444613832371423	47	73	1	27	0.00002	11	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt65__count23__17879883858042069559	47	73	1	27	4.1e-7	23	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt65__count90__10987469959568302327	47	73	1	27	4.4e-7	90	NoD1_BH4
tRNA-Arg-TCT	tRNA-Arg-TCT-3-1.intron__strt65__count50__13231146196773332006	47	73	1	27	5.4e-6	50	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt45__count12__5050658880243035123	45	74	1	30	2.7e-8	12	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt46__count42__1593812904166024820	46	74	1	29	6.6e-8	42	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt46__count20__2168065190961834697	46	74	1	29	1.8e-6	20	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-4-1__strt46__count43__4732990318458882315	46	74	1	29	1.4e-7	43	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-4-1__strt46__count23__12373280075750780674	46	74	1	29	3.8e-6	23	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-1-1__strt47__count15__11558857397878192313	47	74	1	28	8.4e-7	15	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-1-1__strt47__count10__14269391023953092856	47	74	1	28	0.000023	10	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt47__count209__17571353045563180698	47	74	1	28	1.8e-7	209	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt47__count16__2233399237727721029	47	74	1	28	4.9e-6	16	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt47__count98__11048871394968111849	47	74	1	28	5.1e-6	98	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-1-1__strt48__count73__5039936694117053744	48	74	1	27	2.0e-6	73	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt48__count16__16519661596840269767	48	74	1	27	4.1e-7	16	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt48__count13__17947681939541229324	48	74	1	27	4.2e-7	13	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-2-1__strt48__count738__11756674651254549242	48	74	1	27	4.4e-7	738	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-4-1__strt47__count389__6032410621893739699	48	74	2	28	2.7e-7	389	NoD1_BH4
tRNA-Asn-GTT	tRNA-Asn-GTT-4-1__strt47__count117__1767492975554026691	48	74	2	28	7.6e-6	117	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count13__15356948931654875262	1	32	1	32	2.2e-10	13	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count41__1155610289800414321	1	33	1	33	7.9e-11	41	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count35__14922389867201274798	1	34	1	34	2.7e-11	35	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count103__3408435836864562635	1	35	1	35	9.5e-12	103	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count92__2663392232179932755	1	36	1	36	3.3e-12	92	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count33__16431908279563653072	1	37	1	37	1.1e-12	33	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count11__4399909224549770762	1	38	1	38	3.9e-13	11	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt1__count26__3592687566254723924	1	47	1	47	1.8e-17	26	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt10__count50__12489572675482230270	10	56	1	47	1.6e-17	50	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt11__count20__12136209042598695604	11	57	1	47	1.7e-17	20	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt12__count44__15052542106808906767	12	58	1	47	1.7e-17	44	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt13__count33__9824329114889671725	13	59	1	47	1.8e-17	33	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt14__count32__9224228462317525402	14	60	1	47	1.8e-17	32	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt15__count14__15323054881981793772	15	61	1	47	1.9e-17	14	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt16__count25__17937493027811664779	16	62	1	47	2.0e-17	25	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt17__count49__8261449854856683146	17	63	1	47	2.0e-17	49	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt18__count24__6304316310165119627	18	64	1	47	2.1e-17	24	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt18__count12__13898808935409589976	18	66	1	49	2.4e-18	12	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt19__count25__12228249610021793534	19	66	1	48	7.0e-18	25	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt20__count495__8591737275391749478	20	66	1	47	1.9e-17	495	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt20__count53__3730229758381432610	20	66	1	47	2.0e-16	53	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt20__count11__17463064960002339904	20	67	1	48	6.4e-18	11	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt22__count22__18394611906436322765	22	68	1	47	1.7e-17	22	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt24__count17__8260926185774135604	24	70	1	47	1.6e-17	17	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt27__count10__10430365457185133938	27	67	1	41	8.6e-15	10	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt27__count45__6666605468153430316	27	72	1	46	4.2e-17	45	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt28__count11__4242025233652673799	28	72	1	45	1.1e-16	11	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt29__count36__2801392873372038379	29	72	1	44	3.1e-16	36	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt29__count10__8101169082048001268	29	72	1	44	3.1e-15	10	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt30__count44__18394239960466363241	30	72	1	43	8.8e-16	44	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-1-1__strt31__count11__1655664582714590259	31	72	1	42	1.0e-14	11	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt31__count85__9329297917989037075	31	72	1	42	2.4e-15	85	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-1-1__strt32__count21__9908234915236741707	32	72	1	41	2.7e-14	21	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt32__count34__10946196281028542476	32	72	1	41	3.9e-14	34	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt32__count134__17234951186223393008	32	72	1	41	6.0e-15	134	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt32__count22__15935225397652941512	32	72	1	41	6.0e-14	22	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-3-1__strt31__count32__12405550751960581934	32	72	2	42	3.9e-15	32	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC.trnascan.1.trna185__strt31__count68__15117416186345909532	32	72	2	42	1.2e-14	68	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC.trnascan.1.trna185__strt31__count10__18004523779166819510	32	72	2	42	1.2e-13	10	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt33__count14__17311612104250002979	33	71	1	39	4.6e-14	14	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-1-1__strt33__count43__759043478919063174	33	72	1	40	7.6e-14	43	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt33__count35__13884651749328264150	33	72	1	40	9.7e-14	35	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt33__count11__15165673510609381555	33	72	1	40	1.7e-14	11	NoD1_BH4
tRNA-Asp-GTC	tRNA-Asp-GTC-2-1__strt33__count399__9715511026418702637	33	72	1	40	1.7e-14	399	NoD1_BH4
